,Stu Term,Unnamed: 1,Stu Admit Term,Unnamed: 3,Record ID,Stu Visa Type,Stu Attribute BAM,Stu Admit Type,Stu Primary Degree Level,Stu Primary Major 1 College,Stu Primary Program,Stu Primary Program Code,Stu Primary Department,Unnamed: 14,Stu New/Returning Ind,Stu Residency Group,Course Sect College,Stu Registered Ind,Registration Status,Registration Status Date,Course Desc,Course Section,Course Sect Schedule Type,Course Sect Instruction Delivery Method Group,Course Sect Wiley Courses Ind,Course Sect Credits,Stu Course Registered Hours
0,201810,Spring 2018,201210,Spring 2012,CEC2514,NA,'--,GR,Master,VSE,MS Computer Engineering,VS-MS-CPE,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/10/2017,ECE 590,ECE 590 001,Lecture,F2F,'--,3,3
1,201810,Spring 2018,201210,Spring 2012,CEC2514,NA,'--,GR,Master,VSE,MS Computer Engineering,VS-MS-CPE,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/10/2017,ECE 590,ECE 590 003,Lec/Sem #1,F2F,'--,3,3
2,201810,Spring 2018,201210,Spring 2012,CEC2514,NA,'--,GR,Master,VSE,MS Computer Engineering,VS-MS-CPE,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/10/2017,ECE 699,ECE 699 001,Lecture,F2F,'--,3,3
3,201810,Spring 2018,201270,Fall 2012,CEC10,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/20/2017,ECE 521,ECE 521 001,Lecture,F2F,'--,3,3
4,201810,Spring 2018,201270,Fall 2012,CEC10,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/20/2017,ECE 587,ECE 587 002,Lecture,F2F,'--,3,3
5,201810,Spring 2018,201270,Fall 2012,CEC10,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/20/2017,ECE 685,ECE 685 001,Lecture,F2F,'--,3,3
6,201810,Spring 2018,201270,Fall 2012,CEC3286,NA,'--,GR,Master,VSE,MS Information Systems,VS-MS-ISYS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/7/2017,ISA 652,ISA 652 001,Lecture,F2F,'--,3,3
7,201810,Spring 2018,201270,Fall 2012,CEC3286,NA,'--,GR,Master,VSE,MS Information Systems,VS-MS-ISYS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/7/2017,ISA 656,ISA 656 001,Lecture,F2F,'--,3,3
8,201810,Spring 2018,201310,Spring 2013,CEC489,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,11/7/2017,AIT 671,AIT 671 DL1,Lecture,Online,N,3,3
9,201810,Spring 2018,201310,Spring 2013,CEC489,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,11/7/2017,AIT 677,AIT 677 001,Lecture,F2F,'--,3,3
10,201810,Spring 2018,201310,Spring 2013,CEC489,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,11/7/2017,AIT 685,AIT 685 DL1,Seminar,Online,N,3,3
11,201810,Spring 2018,201310,Spring 2013,CEC489,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,11/13/2017,AIT 673,AIT 673 001,Lecture,F2F,'--,3,3
