,semester,program,min_waitlisted_students
0,201970,EC-MS-ELEN,713
1,201970,EC-MS-ISA,134
2,201970,EC-MS-ELEN,713
3,201970,EC-MS-ISA,134
4,202010,EC-MS-AIT,709
5,202010,EC-MS-CEIE,936
6,202010,EC-MS-CS,1490
7,202010,EC-MS-DAEN,1519
8,202010,EC-MS-ELEN,560
9,202010,EC-MS-ISYS,558
10,202010,EC-MS-TCOM,278
11,201970,EC-MS-ELEN,713
12,201970,EC-MS-ISA,134
13,202010,EC-MS-AIT,709
14,202010,EC-MS-CEIE,936
15,202010,EC-MS-CS,1490
16,202010,EC-MS-DAEN,1519
17,202010,EC-MS-ELEN,560
18,202010,EC-MS-ISYS,558
19,202010,EC-MS-TCOM,278
20,202070,EC-MS-AIT,1260
21,202070,EC-MS-CEIE,392
22,202070,EC-MS-CS,345
23,202070,EC-MS-DAEN,2533
24,202070,EC-MS-ELEN,559
25,202070,EC-MS-ISYS,190
26,202070,EC-MS-OPRS,429
27,202070,EC-MS-STAT,428
28,202070,EC-MS-SWE,526
29,202070,EC-MS-TCOM,852
30,201970,EC-MS-ELEN,713
31,201970,EC-MS-ISA,134
32,202010,EC-MS-AIT,709
33,202010,EC-MS-CEIE,936
34,202010,EC-MS-CS,1490
35,202010,EC-MS-DAEN,1519
36,202010,EC-MS-ELEN,560
37,202010,EC-MS-ISYS,558
38,202010,EC-MS-TCOM,278
39,202070,EC-MS-AIT,1260
40,202070,EC-MS-CEIE,392
41,202070,EC-MS-CS,345
42,202070,EC-MS-DAEN,2533
43,202070,EC-MS-ELEN,559
44,202070,EC-MS-ISYS,190
45,202070,EC-MS-OPRS,429
46,202070,EC-MS-STAT,428
47,202070,EC-MS-SWE,526
48,202070,EC-MS-TCOM,852
49,202110,EC-MS-AIT,1063
50,202110,EC-MS-CEIE,1231
51,202110,EC-MS-CPE,558
52,202110,EC-MS-CS,1192
53,202110,EC-MS-DAEN,2384
54,202110,EC-MS-ELEN,1008
55,202110,EC-MS-ISYS,303
56,202110,EC-MS-OPRS,429
57,202110,EC-MS-SWE,357
58,202110,EC-MS-SYST,429
59,202110,EC-MS-TCOM,568
60,201970,EC-MS-ELEN,713
61,201970,EC-MS-ISA,134
62,202010,EC-MS-AIT,709
63,202010,EC-MS-CEIE,936
64,202010,EC-MS-CS,1490
65,202010,EC-MS-DAEN,1519
66,202010,EC-MS-ELEN,560
