,semester,program,course_code,waitlisted,number_of_students
0,201970,EC-MS-ELEN,ECE542,F,12.0
1,201970,EC-MS-ELEN,ECE584,F,8.0
2,201970,EC-MS-ELEN,ECE587,F,6.0
3,201970,EC-MS-ELEN,ECE631,F,2.0
4,201970,EC-MS-ELEN,ECE681,F,4.0
5,201970,EC-MS-ELEN,ECE542,T,137.0
6,201970,EC-MS-ELEN,ECE584,T,141.0
7,201970,EC-MS-ELEN,ECE587,T,143.0
8,201970,EC-MS-ELEN,ECE631,T,147.0
9,201970,EC-MS-ELEN,ECE681,T,145.0
10,201970,EC-MS-ISA,ISA562,F,15.0
11,201970,EC-MS-ISA,ISA562,T,134.0
12,201970,EC-MS-ELEN,ECE542,F,12.0
13,201970,EC-MS-ELEN,ECE584,F,8.0
14,201970,EC-MS-ELEN,ECE587,F,6.0
15,201970,EC-MS-ELEN,ECE631,F,2.0
16,201970,EC-MS-ELEN,ECE681,F,4.0
17,201970,EC-MS-ELEN,ECE542,T,137.0
18,201970,EC-MS-ELEN,ECE584,T,141.0
19,201970,EC-MS-ELEN,ECE587,T,143.0
20,201970,EC-MS-ELEN,ECE631,T,147.0
21,201970,EC-MS-ELEN,ECE681,T,145.0
22,201970,EC-MS-ISA,ISA562,F,15.0
23,201970,EC-MS-ISA,ISA562,T,134.0
24,202010,EC-MS-AIT,AIT524,F,6.0
25,202010,EC-MS-AIT,AIT542,F,14.0
26,202010,EC-MS-AIT,AIT602,F,2.0
27,202010,EC-MS-AIT,AIT677,F,8.0
28,202010,EC-MS-AIT,AIT716,F,6.0
29,202010,EC-MS-AIT,AIT524,T,143.0
30,202010,EC-MS-AIT,AIT542,T,135.0
31,202010,EC-MS-AIT,AIT602,T,147.0
32,202010,EC-MS-AIT,AIT677,T,141.0
33,202010,EC-MS-AIT,AIT716,T,143.0
34,202010,EC-MS-CEIE,CEIE524,F,10.0
35,202010,EC-MS-CEIE,CEIE575,F,19.0
36,202010,EC-MS-CEIE,CEIE576,F,22.0
37,202010,EC-MS-CEIE,CEIE578,F,4.0
38,202010,EC-MS-CEIE,CEIE605,F,29.0
39,202010,EC-MS-CEIE,CEIE679,F,1.0
40,202010,EC-MS-CEIE,CEIE795,F,22.0
41,202010,EC-MS-CEIE,CEIE524,T,139.0
42,202010,EC-MS-CEIE,CEIE575,T,130.0
43,202010,EC-MS-CEIE,CEIE576,T,127.0
44,202010,EC-MS-CEIE,CEIE578,T,145.0
45,202010,EC-MS-CEIE,CEIE605,T,120.0
46,202010,EC-MS-CEIE,CEIE679,T,148.0
47,202010,EC-MS-CEIE,CEIE795,T,127.0
48,202010,EC-MS-CS,CS530,F,96.0
49,202010,EC-MS-CS,CS531,F,145.0
50,202010,EC-MS-CS,CS550,F,49.0
51,202010,EC-MS-CS,CS583,F,53.0
52,202010,EC-MS-CS,CS584,F,62.0
53,202010,EC-MS-CS,CS675,F,2.0
54,202010,EC-MS-CS,ISA562,F,15.0
55,202010,EC-MS-CS,ISA681,F,1.0
56,202010,EC-MS-CS,SWE619,F,0.0
57,202010,EC-MS-CS,SWE621,F,0.0
58,202010,EC-MS-CS,SWE622,F,0.0
59,202010,EC-MS-CS,SWE632,F,22.0
60,202010,EC-MS-CS,SWE681,F,2.0
61,202010,EC-MS-CS,CS530,T,53.0
62,202010,EC-MS-CS,CS531,T,4.0
63,202010,EC-MS-CS,CS550,T,100.0
64,202010,EC-MS-CS,CS583,T,96.0
65,202010,EC-MS-CS,CS584,T,87.0
66,202010,EC-MS-CS,CS675,T,147.0
67,202010,EC-MS-CS,ISA562,T,134.0
68,202010,EC-MS-CS,ISA681,T,148.0
69,202010,EC-MS-CS,SWE619,T,149.0
70,202010,EC-MS-CS,SWE621,T,149.0
71,202010,EC-MS-CS,SWE622,T,149.0
72,202010,EC-MS-CS,SWE632,T,127.0
73,202010,EC-MS-CS,SWE681,T,147.0
74,202010,EC-MS-DAEN,AIT524,F,6.0
75,202010,EC-MS-DAEN,AIT580,F,62.0
76,202010,EC-MS-DAEN,AIT582,F,6.0
77,202010,EC-MS-DAEN,AIT614,F,6.0
78,202010,EC-MS-DAEN,AIT622,F,5.0
79,202010,EC-MS-DAEN,AIT664,F,5.0
80,202010,EC-MS-DAEN,CS504,F,105.0
81,202010,EC-MS-DAEN,OR531,F,73.0
82,202010,EC-MS-DAEN,OR541,F,13.0
83,202010,EC-MS-DAEN,OR542,F,2.0
84,202010,EC-MS-DAEN,STAT515,F,119.0
85,202010,EC-MS-DAEN,STAT544,F,5.0
86,202010,EC-MS-DAEN,STAT554,F,11.0
87,202010,EC-MS-DAEN,AIT524,T,143.0
88,202010,EC-MS-DAEN,AIT580,T,87.0
89,202010,EC-MS-DAEN,AIT582,T,143.0
90,202010,EC-MS-DAEN,AIT614,T,143.0
91,202010,EC-MS-DAEN,AIT622,T,144.0
92,202010,EC-MS-DAEN,AIT664,T,144.0
93,202010,EC-MS-DAEN,CS504,T,44.0
94,202010,EC-MS-DAEN,OR531,T,76.0
95,202010,EC-MS-DAEN,OR541,T,136.0
96,202010,EC-MS-DAEN,OR542,T,147.0
97,202010,EC-MS-DAEN,STAT515,T,30.0
98,202010,EC-MS-DAEN,STAT544,T,144.0
99,202010,EC-MS-DAEN,STAT554,T,138.0
100,202010,EC-MS-ELEN,ECE542,F,12.0
101,202010,EC-MS-ELEN,ECE584,F,8.0
102,202010,EC-MS-ELEN,ECE586,F,4.0
103,202010,EC-MS-ELEN,ECE590,F,12.0
104,202010,EC-MS-ELEN,ECE542,T,137.0
105,202010,EC-MS-ELEN,ECE584,T,141.0
106,202010,EC-MS-ELEN,ECE586,T,145.0
107,202010,EC-MS-ELEN,ECE590,T,137.0
108,202010,EC-MS-ISYS,CS550,F,49.0
109,202010,EC-MS-ISYS,INFS501,F,33.0
110,202010,EC-MS-ISYS,INFS519,F,23.0
111,202010,EC-MS-ISYS,INFS622,F,80.0
112,202010,EC-MS-ISYS,INFS774,F,2.0
113,202010,EC-MS-ISYS,CS550,T,100.0
114,202010,EC-MS-ISYS,INFS501,T,116.0
115,202010,EC-MS-ISYS,INFS519,T,126.0
116,202010,EC-MS-ISYS,INFS622,T,69.0
117,202010,EC-MS-ISYS,INFS774,T,147.0
118,202010,EC-MS-TCOM,TCOM500,F,9.0
119,202010,EC-MS-TCOM,TCOM535,F,11.0
120,202010,EC-MS-TCOM,TCOM500,T,140.0
121,202010,EC-MS-TCOM,TCOM535,T,138.0
122,201970,EC-MS-ELEN,ECE542,F,12.0
123,201970,EC-MS-ELEN,ECE584,F,8.0
124,201970,EC-MS-ELEN,ECE587,F,6.0
125,201970,EC-MS-ELEN,ECE631,F,2.0
126,201970,EC-MS-ELEN,ECE681,F,4.0
127,201970,EC-MS-ELEN,ECE542,T,137.0
128,201970,EC-MS-ELEN,ECE584,T,141.0
129,201970,EC-MS-ELEN,ECE587,T,143.0
130,201970,EC-MS-ELEN,ECE631,T,147.0
131,201970,EC-MS-ELEN,ECE681,T,145.0
132,201970,EC-MS-ISA,ISA562,F,15.0
133,201970,EC-MS-ISA,ISA562,T,134.0
134,202010,EC-MS-AIT,AIT524,F,6.0
135,202010,EC-MS-AIT,AIT542,F,14.0
136,202010,EC-MS-AIT,AIT602,F,2.0
137,202010,EC-MS-AIT,AIT677,F,8.0
138,202010,EC-MS-AIT,AIT716,F,6.0
139,202010,EC-MS-AIT,AIT524,T,143.0
140,202010,EC-MS-AIT,AIT542,T,135.0
141,202010,EC-MS-AIT,AIT602,T,147.0
142,202010,EC-MS-AIT,AIT677,T,141.0
143,202010,EC-MS-AIT,AIT716,T,143.0
144,202010,EC-MS-CEIE,CEIE524,F,10.0
145,202010,EC-MS-CEIE,CEIE575,F,19.0
146,202010,EC-MS-CEIE,CEIE576,F,22.0
147,202010,EC-MS-CEIE,CEIE578,F,4.0
148,202010,EC-MS-CEIE,CEIE605,F,29.0
149,202010,EC-MS-CEIE,CEIE679,F,1.0
150,202010,EC-MS-CEIE,CEIE795,F,22.0
151,202010,EC-MS-CEIE,CEIE524,T,139.0
152,202010,EC-MS-CEIE,CEIE575,T,130.0
153,202010,EC-MS-CEIE,CEIE576,T,127.0
154,202010,EC-MS-CEIE,CEIE578,T,145.0
155,202010,EC-MS-CEIE,CEIE605,T,120.0
156,202010,EC-MS-CEIE,CEIE679,T,148.0
157,202010,EC-MS-CEIE,CEIE795,T,127.0
158,202010,EC-MS-CS,CS530,F,96.0
159,202010,EC-MS-CS,CS531,F,145.0
160,202010,EC-MS-CS,CS550,F,49.0
161,202010,EC-MS-CS,CS583,F,53.0
162,202010,EC-MS-CS,CS584,F,62.0
163,202010,EC-MS-CS,CS675,F,2.0
164,202010,EC-MS-CS,ISA562,F,15.0
165,202010,EC-MS-CS,ISA681,F,1.0
166,202010,EC-MS-CS,SWE619,F,0.0
167,202010,EC-MS-CS,SWE621,F,0.0
168,202010,EC-MS-CS,SWE622,F,0.0
169,202010,EC-MS-CS,SWE632,F,22.0
170,202010,EC-MS-CS,SWE681,F,2.0
171,202010,EC-MS-CS,CS530,T,53.0
172,202010,EC-MS-CS,CS531,T,4.0
173,202010,EC-MS-CS,CS550,T,100.0
174,202010,EC-MS-CS,CS583,T,96.0
175,202010,EC-MS-CS,CS584,T,87.0
176,202010,EC-MS-CS,CS675,T,147.0
177,202010,EC-MS-CS,ISA562,T,134.0
178,202010,EC-MS-CS,ISA681,T,148.0
179,202010,EC-MS-CS,SWE619,T,149.0
180,202010,EC-MS-CS,SWE621,T,149.0
181,202010,EC-MS-CS,SWE622,T,149.0
182,202010,EC-MS-CS,SWE632,T,127.0
183,202010,EC-MS-CS,SWE681,T,147.0
184,202010,EC-MS-DAEN,AIT524,F,6.0
185,202010,EC-MS-DAEN,AIT580,F,62.0
186,202010,EC-MS-DAEN,AIT582,F,6.0
187,202010,EC-MS-DAEN,AIT614,F,6.0
188,202010,EC-MS-DAEN,AIT622,F,5.0
189,202010,EC-MS-DAEN,AIT664,F,5.0
190,202010,EC-MS-DAEN,CS504,F,105.0
191,202010,EC-MS-DAEN,OR531,F,73.0
192,202010,EC-MS-DAEN,OR541,F,13.0
193,202010,EC-MS-DAEN,OR542,F,2.0
194,202010,EC-MS-DAEN,STAT515,F,119.0
195,202010,EC-MS-DAEN,STAT544,F,5.0
196,202010,EC-MS-DAEN,STAT554,F,11.0
197,202010,EC-MS-DAEN,AIT524,T,143.0
198,202010,EC-MS-DAEN,AIT580,T,87.0
199,202010,EC-MS-DAEN,AIT582,T,143.0
200,202010,EC-MS-DAEN,AIT614,T,143.0
201,202010,EC-MS-DAEN,AIT622,T,144.0
202,202010,EC-MS-DAEN,AIT664,T,144.0
203,202010,EC-MS-DAEN,CS504,T,44.0
204,202010,EC-MS-DAEN,OR531,T,76.0
205,202010,EC-MS-DAEN,OR541,T,136.0
206,202010,EC-MS-DAEN,OR542,T,147.0
207,202010,EC-MS-DAEN,STAT515,T,30.0
208,202010,EC-MS-DAEN,STAT544,T,144.0
209,202010,EC-MS-DAEN,STAT554,T,138.0
210,202010,EC-MS-ELEN,ECE542,F,12.0
211,202010,EC-MS-ELEN,ECE584,F,8.0
212,202010,EC-MS-ELEN,ECE586,F,4.0
213,202010,EC-MS-ELEN,ECE590,F,12.0
214,202010,EC-MS-ELEN,ECE542,T,137.0
215,202010,EC-MS-ELEN,ECE584,T,141.0
216,202010,EC-MS-ELEN,ECE586,T,145.0
217,202010,EC-MS-ELEN,ECE590,T,137.0
218,202010,EC-MS-ISYS,CS550,F,49.0
219,202010,EC-MS-ISYS,INFS501,F,33.0
220,202010,EC-MS-ISYS,INFS519,F,23.0
221,202010,EC-MS-ISYS,INFS622,F,80.0
222,202010,EC-MS-ISYS,INFS774,F,2.0
223,202010,EC-MS-ISYS,CS550,T,100.0
224,202010,EC-MS-ISYS,INFS501,T,116.0
225,202010,EC-MS-ISYS,INFS519,T,126.0
226,202010,EC-MS-ISYS,INFS622,T,69.0
227,202010,EC-MS-ISYS,INFS774,T,147.0
228,202010,EC-MS-TCOM,TCOM500,F,9.0
229,202010,EC-MS-TCOM,TCOM535,F,11.0
230,202010,EC-MS-TCOM,TCOM500,T,140.0
231,202010,EC-MS-TCOM,TCOM535,T,138.0
232,202070,EC-MS-AIT,AIT512,F,12.0
233,202070,EC-MS-AIT,AIT524,F,6.0
234,202070,EC-MS-AIT,AIT542,F,14.0
235,202070,EC-MS-AIT,AIT582,F,6.0
236,202070,EC-MS-AIT,AIT614,F,6.0
237,202070,EC-MS-AIT,AIT660,F,11.0
238,202070,EC-MS-AIT,AIT664,F,5.0
239,202070,EC-MS-AIT,AIT672,F,13.0
240,202070,EC-MS-AIT,AIT677,F,8.0
241,202070,EC-MS-AIT,AIT512,T,137.0
242,202070,EC-MS-AIT,AIT524,T,143.0
243,202070,EC-MS-AIT,AIT542,T,135.0
244,202070,EC-MS-AIT,AIT582,T,143.0
245,202070,EC-MS-AIT,AIT614,T,143.0
246,202070,EC-MS-AIT,AIT660,T,138.0
247,202070,EC-MS-AIT,AIT664,T,144.0
248,202070,EC-MS-AIT,AIT672,T,136.0
249,202070,EC-MS-AIT,AIT677,T,141.0
250,202070,EC-MS-CEIE,CEIE601,F,41.0
251,202070,EC-MS-CEIE,CEIE634,F,11.0
252,202070,EC-MS-CEIE,CEIE639,F,3.0
253,202070,EC-MS-CEIE,CEIE601,T,108.0
254,202070,EC-MS-CEIE,CEIE634,T,138.0
255,202070,EC-MS-CEIE,CEIE639,T,146.0
256,202070,EC-MS-CS,CS530,F,149.0
257,202070,EC-MS-CS,CS531,F,145.0
258,202070,EC-MS-CS,CS550,F,49.0
259,202070,EC-MS-CS,CS583,F,53.0
260,202070,EC-MS-CS,ISA673,F,4.0
261,202070,EC-MS-CS,CS530,T,0.0
262,202070,EC-MS-CS,CS531,T,4.0
263,202070,EC-MS-CS,CS550,T,100.0
264,202070,EC-MS-CS,CS583,T,96.0
265,202070,EC-MS-CS,ISA673,T,145.0
266,202070,EC-MS-DAEN,AIT524,F,6.0
267,202070,EC-MS-DAEN,AIT580,F,62.0
268,202070,EC-MS-DAEN,AIT590,F,2.0
269,202070,EC-MS-DAEN,AIT614,F,6.0
270,202070,EC-MS-DAEN,AIT622,F,5.0
271,202070,EC-MS-DAEN,AIT664,F,5.0
272,202070,EC-MS-DAEN,AIT722,F,2.0
273,202070,EC-MS-DAEN,AIT736,F,3.0
274,202070,EC-MS-DAEN,CS504,F,105.0
275,202070,EC-MS-DAEN,CS584,F,22.0
276,202070,EC-MS-DAEN,HAP780,F,1.0
