,rec_id,semester,program,min_waitlisted_students
0,1,201770,EC-MS-CEIE,34
1,2,201770,EC-MS-CPE,0
2,3,201770,EC-MS-CS,230
3,4,201770,EC-MS-DAEN,237
4,5,201770,EC-MS-ELEN,32
5,6,201770,EC-MS-SWE,0
6,7,201770,EC-MS-SYST,48
7,8,201770,EC-MS-CEIE,34
8,9,201770,EC-MS-CPE,0
9,10,201770,EC-MS-CS,230
10,11,201770,EC-MS-DAEN,237
11,12,201770,EC-MS-ELEN,32
12,13,201770,EC-MS-SWE,0
13,14,201770,EC-MS-SYST,48
14,15,201810,EC-MS-AIT,636
15,16,201810,EC-MS-CPE,22
16,17,201810,EC-MS-CS,230
17,18,201810,EC-MS-DAEN,242
18,19,201810,EC-MS-OPRS,57
19,20,201770,EC-MS-CEIE,34
20,21,201770,EC-MS-CPE,0
21,22,201770,EC-MS-CS,230
22,23,201770,EC-MS-DAEN,237
23,24,201770,EC-MS-ELEN,32
24,25,201770,EC-MS-SWE,0
25,26,201770,EC-MS-SYST,48
26,27,201810,EC-MS-AIT,636
27,28,201810,EC-MS-CPE,22
28,29,201810,EC-MS-CS,230
29,30,201810,EC-MS-DAEN,242
30,31,201810,EC-MS-OPRS,57
31,32,201870,EC-MS-AIT,0
32,33,201870,EC-MS-BSTA,0
33,34,201870,EC-MS-CEIE,0
34,35,201870,EC-MS-CS,0
35,36,201870,EC-MS-DAEN,0
36,37,201870,EC-MS-ELEN,0
37,38,201870,EC-MS-ISA,0
38,39,201870,EC-MS-STAT,0
39,40,201870,EC-MS-TCOM,23
40,41,201770,EC-MS-CEIE,34
41,42,201770,EC-MS-CPE,0
42,43,201770,EC-MS-CS,230
43,44,201770,EC-MS-DAEN,237
44,45,201770,EC-MS-ELEN,32
45,46,201770,EC-MS-SWE,0
46,47,201770,EC-MS-SYST,48
47,48,201810,EC-MS-AIT,636
48,49,201810,EC-MS-CPE,22
49,50,201810,EC-MS-CS,230
50,51,201810,EC-MS-DAEN,242
51,52,201810,EC-MS-OPRS,57
52,53,201870,EC-MS-AIT,0
53,54,201870,EC-MS-BSTA,0
54,55,201870,EC-MS-CEIE,0
55,56,201870,EC-MS-CS,0
56,57,201870,EC-MS-DAEN,0
57,58,201870,EC-MS-ELEN,0
58,59,201870,EC-MS-ISA,0
59,60,201870,EC-MS-STAT,0
60,61,201870,EC-MS-TCOM,23
61,62,201910,EC-MS-AIT,10
62,63,201910,EC-MS-CEIE,0
63,64,201910,EC-MS-CPE,0
64,65,201910,EC-MS-CS,0
65,66,201910,EC-MS-DAEN,191
66,67,201910,EC-MS-ELEN,0
67,68,201910,EC-MS-ISA,0
68,69,201910,EC-MS-OPRS,0
69,70,201910,EC-MS-STAT,0
70,71,201910,EC-MS-SWE,0
71,72,201770,EC-MS-CEIE,34
72,73,201770,EC-MS-CPE,0
73,74,201770,EC-MS-CS,230
74,75,201770,EC-MS-DAEN,237
75,76,201770,EC-MS-ELEN,32
76,77,201770,EC-MS-SWE,0
77,78,201770,EC-MS-SYST,48
78,79,201810,EC-MS-AIT,636
79,80,201810,EC-MS-CPE,22
80,81,201810,EC-MS-CS,230
81,82,201810,EC-MS-DAEN,242
82,83,201810,EC-MS-OPRS,57
83,84,201870,EC-MS-AIT,0
84,85,201870,EC-MS-BSTA,0
85,86,201870,EC-MS-CEIE,0
86,87,201870,EC-MS-CS,0
87,88,201870,EC-MS-DAEN,0
88,89,201870,EC-MS-ELEN,0
89,90,201870,EC-MS-ISA,0
90,91,201870,EC-MS-STAT,0
91,92,201870,EC-MS-TCOM,23
92,93,201910,EC-MS-AIT,10
93,94,201910,EC-MS-CEIE,0
94,95,201910,EC-MS-CPE,0
95,96,201910,EC-MS-CS,0
96,97,201910,EC-MS-DAEN,191
97,98,201910,EC-MS-ELEN,0
98,99,201910,EC-MS-ISA,0
99,100,201910,EC-MS-OPRS,0
100,101,201910,EC-MS-STAT,0
101,102,201910,EC-MS-SWE,0
102,103,201970,EC-MS-AIT,0
103,104,201970,EC-MS-CEIE,0
104,105,201970,EC-MS-CPE,0
105,106,201970,EC-MS-CS,0
106,107,201970,EC-MS-DAEN,0
107,108,201970,EC-MS-ELEN,0
108,109,201970,EC-MS-ISA,0
109,110,201970,EC-MS-OPRS,0
110,111,201970,EC-MS-STAT,0
111,112,201970,EC-MS-SWE,0
112,113,201970,EC-MS-SYST,0
113,114,201970,EC-MS-TCOM,0
114,115,201770,EC-MS-CEIE,34
115,116,201770,EC-MS-CPE,0
116,117,201770,EC-MS-CS,230
117,118,201770,EC-MS-DAEN,237
118,119,201770,EC-MS-ELEN,32
119,120,201770,EC-MS-SWE,0
120,121,201770,EC-MS-SYST,48
121,122,201810,EC-MS-AIT,636
122,123,201810,EC-MS-CPE,22
123,124,201810,EC-MS-CS,230
124,125,201810,EC-MS-DAEN,242
125,126,201810,EC-MS-OPRS,57
126,127,201870,EC-MS-AIT,0
127,128,201870,EC-MS-BSTA,0
128,129,201870,EC-MS-CEIE,0
129,130,201870,EC-MS-CS,0
130,131,201870,EC-MS-DAEN,0
131,132,201870,EC-MS-ELEN,0
132,133,201870,EC-MS-ISA,0
133,134,201870,EC-MS-STAT,0
134,135,201870,EC-MS-TCOM,23
135,136,201910,EC-MS-AIT,10
136,137,201910,EC-MS-CEIE,0
137,138,201910,EC-MS-CPE,0
138,139,201910,EC-MS-CS,0
139,140,201910,EC-MS-DAEN,191
140,141,201910,EC-MS-ELEN,0
141,142,201910,EC-MS-ISA,0
142,143,201910,EC-MS-OPRS,0
143,144,201910,EC-MS-STAT,0
144,145,201910,EC-MS-SWE,0
145,146,201970,EC-MS-AIT,0
146,147,201970,EC-MS-CEIE,0
147,148,201970,EC-MS-CPE,0
148,149,201970,EC-MS-CS,0
149,150,201970,EC-MS-DAEN,0
150,151,201970,EC-MS-ELEN,0
151,152,201970,EC-MS-ISA,0
152,153,201970,EC-MS-OPRS,0
153,154,201970,EC-MS-STAT,0
154,155,201970,EC-MS-SWE,0
155,156,201970,EC-MS-SYST,0
